NOME_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,SITUACAO_EXIBIDOR
CINEMARK TIETÊ PLAZA SALA 02,EM FUNCIONAMENTO,24/04/2021,298.0,6.0,3.0,6.0,SIM,NÃO,NÃO,SÃO PAULO,05145-000,SP,REGULAR
CINEMARK TIETÊ PLAZA SALA 03,EM FUNCIONAMENTO,24/04/2021,127.0,4.0,1.0,4.0,SIM,NÃO,SIM,SÃO PAULO,05145-000,SP,REGULAR
CINEMARK TIETÊ PLAZA SALA 04,EM FUNCIONAMENTO,24/04/2021,127.0,4.0,1.0,4.0,SIM,NÃO,SIM,SÃO PAULO,05145-000,SP,REGULAR
CINEMARK TIETÊ PLAZA SALA 05,EM FUNCIONAMENTO,24/04/2021,168.0,4.0,1.0,4.0,SIM,NÃO,SIM,SÃO PAULO,05145-000,SP,REGULAR
CINEMARK TIETÊ PLAZA SALA 06,EM FUNCIONAMENTO,24/04/2021,184.0,4.0,1.0,4.0,SIM,NÃO,SIM,SÃO PAULO,05145-000,SP,REGULAR
CINEMARK TIETÊ PLAZA SALA 07,EM FUNCIONAMENTO,24/04/2021,166.0,4.0,1.0,4.0,SIM,NÃO,SIM,SÃO PAULO,05145-000,SP,REGULAR
SALA METROPOLITAN GARDEN 01,EM FUNCIONAMENTO,08/08/2021,500.0,6.0,,,SIM,NÃO,SIM,BETIM,32655-505,MG,REGULAR
SALA METROPOLITAN GARDEN 02,EM FUNCIONAMENTO,08/08/2021,161.0,4.0,,,SIM,NÃO,SIM,BETIM,32655-505,MG,REGULAR
SALA METROPOLITAN GARDEN 03,EM FUNCIONAMENTO,08/08/2021,163.0,4.0,,,SIM,NÃO,SIM,BETIM,32655-505,MG,REGULAR
SALA METROPOLITAN GARDEN 04,EM FUNCIONAMENTO,08/08/2021,163.0,4.0,,,SIM,NÃO,SIM,BETIM,32655-505,MG,REGULAR
SALA METROPOLITAN GARDEN 05,EM FUNCIONAMENTO,08/08/2021,163.0,4.0,,,SIM,NÃO,SIM,BETIM,32655-505,MG,REGULAR
SALA METROPOLITAN GARDEN 06,EM FUNCIONAMENTO,08/08/2021,311.0,6.0,,,SIM,NÃO,SIM,BETIM,32655-505,MG,REGULAR
SALA METROPOLITAN GARDEN 07,EM FUNCIONAMENTO,08/08/2021,138.0,4.0,,,SIM,NÃO,SIM,BETIM,32655-505,MG,REGULAR
SALA METROPOLITANO BARRA 01,EM FUNCIONAMENTO,24/04/2021,127.0,2.0,,,SIM,NÃO,SIM,RIO DE JANEIRO,22750-000,RJ,REGULAR
SALA METROPOLITANO BARRA 02,EM FUNCIONAMENTO,24/04/2021,260.0,4.0,,,SIM,NÃO,SIM,RIO DE JANEIRO,22750-000,RJ,REGULAR
